Word,Its more frequent meanings,Type
āe,yes,Formal
aha,what? ,Formal
ahakoa,although,Formal
ahatia,aha + passive suffix -tia,Formal
ahau,"I, me",Formal
āhei,to be able,Formal
āhei,to allow,Formal
ahi,fire,Formal
ahiahi,"early evening, afternoon ",Formal
aho,"string, fishing line",Formal
aho,"light, to shine",Formal
ahu,move in a certain direction,Formal
ahu,to heap up,Formal
ahu,to look after,Formal
āhua,"shape, form, appearance",Formal
āhuatanga,"property, characteristic, feature, circumstance, āhua + nominal suffix -tanga",Formal
ai,"Not translatable into an English word; verbal particle; used in various subordinate structures, for example relative clauses, adverbials",Formal
aihikirīmi,ice-cream,Formal
aituā,accident; to have an accident,Formal
aituā,disaster; to suffer a disaster,Formal
ākau,"shore, coast",Formal
ake,"Various uses and meanings, eg upwards, as in: piki ake, titiro ake; comparative as in: nui ake; own, as in: tōku whānau ake",Formal
ako,"to learn, to teach",Formal
ākonga,"student, learner",Formal
akoranga,thing that is taught or learnt,Formal
aku,"my, mine, plural form of taku, neutral for possession category",Formal
āku,"my, mine, for ā category items, plural form of tāku",Formal
ākuanei,"soon, presently",Formal
ana,Verbal particle showing ongoing action as in: e haere ana,Formal
ana,"his, her, plural form of tana, neutral for possession category",Formal
ana,cave,Formal
anā,"there, by you",Formal
āna,"his, her, plural, for ā category items",Formal
anake,"only, just",Formal
anei,"here, by me",Formal
anga,face or move in a certain direction,Formal
anga,shell,Formal
anō,"Various meanings, eg again; also, too; self(reflexive) as in: ki a ia anō",Formal
ao,"world, dawn, cloud",Formal
aorangi,planet,Formal
āpōpō,tomorrow,Formal
āporo,apple,Formal
ara,path,Formal
ara,to rise,Formal
arā,"over there, away from us both",Formal
ārahi,"to lead, guide",Formal
ārai,"curtain; to screen off, block",Formal
ariki,"chief, leader",Formal
aro,"to face, turn towards",Formal
aroha,"love, sympathy, compassion",Formal
ata,"morning, shadow",Formal
āta,"gently, carefully, deliberately",Formal
ātaahua,"beautiful, well formed",Formal
atawhai,to show kindness towards,Formal
ātea,open space,Formal
ātea,outer space,Formal
atu,away from current orientation,Formal
atua,god,Formal
au,"I, me",Formal
āu,"your, plural form of tāu, ā category possession.",Formal
aua,"I don’t know, as in: He aha tērā? Aua!",Formal
aua,"those (previously mentioned), plural of taua",Formal
auahi,smoke,Formal
auau,"to bark, howl",Formal
auē,"Alas! An expression of woe, sadness",Formal
awa,river,Formal
āwangawanga,worried,Formal
awatea,daylight,Formal
awhi,"to hug, embrace",Formal
āwhina,to help,Formal
ehara,"Negative used for nominal sentences, as in:",Formal
ehara,"Exclamation: Sure enough, without a doubt.",Formal
eke,to climb up on,Formal
eke,"to embark, get onto",Formal
ēnā,"those, near you; plural of tēnā",Formal
ēnei,"these, near me; plural of tēnei",Formal
engari,"but, on the contrary",Formal
ērā,"those, over there; plural of tērā",Formal
ētahi,some; plural of tētahi,Formal
ētehi,some; plural of tētehi (variant of ētahi),Formal
ha,what!,Formal
hā,breath,Formal
haere ,"go, come",Formal
hāereere,"to wander, roam",Formal
haerenga,journey,Formal
hai ,as for hei (variant of hei),Formal
